"1 mail was not scheduled.","1 mail was not scheduled."
"1 mail was scheduled.","1 mail was scheduled."
"1 notification was canceled.","1 notification was canceled."
"1 notification was deleted.","1 notification was deleted."
"1 notification was not canceled.","1 notification was not canceled."
"1 notification was not deleted.","1 notification was not deleted."
"1 notification was not sent.","1 notification was not sent."
"1 notification was sent.","1 notification was sent."
"Add a Review","Add a Review"
"Additional Product Info","Additional Product Info"
"Add Rating to Rich Snippets","Add Rating to Rich Snippets"
"AJAX Reviews","AJAX Reviews"
"AjaxReviews - Leave Review","AjaxReviews - Leave Review"
"AjaxReviews - New Pending","AjaxReviews - New Pending"
"An error occurred while approving review.","An error occurred while approving review."
"An error occurred while deleting review.","An error occurred while deleting review."
"Available Sorting Types","Available Sorting Types"
"Average Customer Rating:","Average Customer Rating:"
"Average Customer Rating","Average Customer Rating"
"Average Rating","Average Rating"
"Back","Back"
"Back to My Reviews","Back to My Reviews"
"Back to Product","Back to Product"
"Be the first to review this product","Be the first to review this product"
"Button Label","Button Label"
"Cancel","Cancel"
"Canceled","Canceled"
"Click","Click"
"Customer","Customer"
"Customer is already logged in.","Customer is already logged in."
"Custom Place","Custom Place"
"Date of Sending","Date of Sending"
"Days after Purchase","Days after Purchase"
"Days Interval between Emails","Days Interval between Emails"
"Default Customer Icon","Default Customer Icon"
"Delete","Delete"
"Disabled","Disabled"
"Display Mode","Display Mode"
"%d Review(s)","%d Review(s)"
"Email Address","Email Address"
"Email Receiver","Email Receiver"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Enable","Enable"
"Enable Sharing","Enable Sharing"
"Enable Sorting","Enable Sorting"
"Enable Voting","Enable Voting"
"First Name Letter","First Name Letter"
"Forgot Your Password?","Forgot Your Password?"
"General","General"
"Gravatar and Letter","Gravatar and Letter"
"Gravatar Image","Gravatar Image"
"Heart","Heart"
"How do you rate this product?","How do you rate this product?"
""How to write an awesome review?" Dialog",""How to write an awesome review?" Dialog"
"Icon Display Mode","Icon Display Mode"
"ID","ID"
"Interval between emails if a customer ordered several products","Interval between emails if a customer ordered several products"
"Items:","Items:"
"Label for First Review","Label for First Review"
"Load more","Load more"
"Login and password are required.","Login and password are required."
"Login","Login"
"Look and Feel","Look and Feel"
"MagPleasure Extensions","MagPleasure Extensions"
"Mail after Purchase","Mail after Purchase"
"Mails after Purchase / AJAX Reviews / Catalog","Mails after Purchase / AJAX Reviews / Catalog"
"Mails after purchase are disabled in system configuration.","Mails after purchase are disabled in system configuration."
"Mails after Purchase","Mails after Purchase"
"Mails Count:","Mails Count:"
"Mails for Existing Orders / Mails after Purchase / AJAX Reviews / Catalog","Mails for Existing Orders / Mails after Purchase / AJAX Reviews / Catalog"
"Mails for Existing Orders","Mails for Existing Orders"
"Message Text","Message Text"
"Month","Month"
"Months","Months"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","My Recent Reviews"
"Newest","Newest"
"Nickname","Nickname"
"None of the mails was scheduled.","None of the mails was scheduled."
"None of the notifications was canceled.","None of the notifications was canceled."
"None of the notifications was deleted.","None of the notifications was deleted."
"None of the notifications was sent.","None of the notifications was sent."
"Notification of Pending Review","Notification of Pending Review"
"Order #","Order #"
"Orders:","Orders:"
"Order Statuses","Order Statuses"
"Password","Password"
"Period since Purchase","Period since Purchase"
"Please, check your email for confirmation key.","Please, check your email for confirmation key."
"Please login to add review","Please login to add review"
"Please rate this product","Please rate this product"
"posted a review of","posted a review of"
"Product Name","Product Name"
"Product Rating:","Product Rating:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Purchase is completed if the order has one of selected statuses","Purchase is completed if the order has one of selected statuses"
"Rating Figure Color","Rating Figure Color"
"Rating Figure","Rating Figure"
"Register","Register"
"Review Details","Review Details"
"Review","Review"
"Reviews per Page","Reviews per Page"
"Review(s)","Review(s)"
"Review (submitted on %s):","Review (submitted on %s):"
"Rounded Design","Rounded Design"
"Send Email","Send Email"
"Send Emails for One Item from Different Orders","Send Emails for One Item from Different Orders"
"Sending Email","Sending Email"
"Sending Failed","Sending Failed"
"Send Mails after Purchase for Existing Orders","Send Mails after Purchase for Existing Orders"
"Send Mails","Send Mails"
"Send Now","Send Now"
"Send Test Copy","Send Test Copy"
"Sent Successfully","Sent Successfully"
"Separated by comma","Separated by comma"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Show Icon","Show Icon"
"Since this is a test email, the review was not actually added. Such a review could be added by a customer.","Since this is a test email, the review was not actually added. Such a review could be added by a customer."
"Since this is a test email, the user was not actually unsubscribed.","Since this is a test email, the user was not actually unsubscribed."
"Skip","Skip"
"%s mails were not scheduled.","%s mails were not scheduled."
"%s mails were scheduled.","%s mails were scheduled."
"%s notifications were canceled.","%s notifications were canceled."
"%s notifications were deleted.","%s notifications were deleted."
"%s notifications were not canceled.","%s notifications were not canceled."
"%s notifications were not deleted.","%s notifications were not deleted."
"%s notifications were not sent.","%s notifications were not sent."
"%s notifications were sent.","%s notifications were sent."
"Sorry, but only registered users can write reviews.","Sorry, but only registered users can write reviews."
"Sorry, something went wrong.","Sorry, something went wrong."
"Sorry, the status of this review has already been updated before.","Sorry, the status of this review has already been updated before."
"Sort by:","Sort by:"
"Standard Place","Standard Place"
"Star","Star"
"Status","Status"
"Submit","Submit"
"Summary of the Review","Summary of the Review"
""Thank you" Dialog",""Thank you" Dialog"
"Thank you. The review has been successfully approved.","Thank you. The review has been successfully approved."
"Thank you. The review has been successfully rejected.","Thank you. The review has been successfully rejected."
"There are no mails after purchase.","There are no mails after purchase."
"The Most Useful","The Most Useful"
"The number of days after which the email will be sent","The number of days after which the email will be sent"
"This account is not confirmed.","This account is not confirmed."
"This email does not require confirmation.","This email does not require confirmation."
"This email template will be used for sending a notification to leave a review","This email template will be used for sending a notification to leave a review"
"This email template will be used to send a notification of a new pending review","This email template will be used to send a notification of a new pending review"
"Title","Title"
"Top Rated","Top Rated"
"Unable to get product reviews.","Unable to get product reviews."
"Unable to post the review.","Unable to post the review."
"Uppercase Text","Uppercase Text"
"View All","View All"
"View Details","View Details"
"View review","View review"
"Waiting for Sending","Waiting for Sending"
"Works if you added a markup to a product. See <a href="http://schema.org/Product" target="_blank">here</a>.","Works if you added a markup to a product. See <a href="http://schema.org/Product" target="_blank">here</a>."
"Write Your Review","Write Your Review"
"Wrong email or password","Wrong email or password"
"Wrong email.","Wrong email."
"Year","Year"
"You have already left a review before.","You have already left a review before."
"You have been successfully unsubscribed from the reviews notification emails.","You have been successfully unsubscribed from the reviews notification emails."
"You have submitted no reviews.","You have submitted no reviews."
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"You should fill out the "Summary of the review" and "Review" fields and rate the product.","You should fill out the "Summary of the review" and "Review" fields and rate the product."
"You should fill out the "Summary of the review" and "Review" fields.","You should fill out the "Summary of the review" and "Review" fields."
